Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Fry	"488	"	Arizona	SNOTEL	Coconino	7200	35.07297	-111.84374	"150602020501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.6	115	119	123	121	100	94	99	1.3	66	14	26			6.6	6.4	6.2	6.3	0	15.6	"1996, 2006, 2015, more"	2010	39	
Fry Canyon	"1262	"	Nevada	SNOTEL	Elko	6798	41.57022	-115.93645	"160401020101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.2			156	137	100	109	127	1.4	75	2	4	2nd Highest				3.34	3.8	0	6.7	2015	2017	5	
GBRC HQ	"1221	"	Utah	SNOTEL	Sanpete	8801	39.32019	-111.48827	"160300040307	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.3			124	122	100	102	107	2.4	83	2	6	2nd Highest				10.74	10.9	6.5	14.2	2018	2017	7	
GBRC Meadows	"1222	"	Utah	SNOTEL	Sanpete	9858	39.30229	-111.45383	"160300040307	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.2			116	120	100	80	83	2.9	83	2	6	2nd Highest				14.89	14.3	10.1	22.8	2018	2017	7	
Galena	"489	"	Idaho	SNOTEL	Blaine	7470	43.87722	-114.6725	"170402190101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.5	95	98	95	100	100	72	76	0	50	19	18			13.2	12.8	13.23	12.5	5.4	27.1	1991	1997	37	
Galena AK	"429	"	Alaska	SNOTEL	Yukon-Koyukuk	410	64.69662	-156.71497	"190902051104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.6			100	100	98			0		1	1					4.6	4.6	4.6	4.6	2019	2019	1	
Galena Summit	"490	"	Idaho	SNOTEL	Blaine	8780	43.87497	-114.71363	"170402190101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.5	102	111	101	108	100	71	75	1.1	63	14	23			15.2	14	15.41	14.4	6.5	29.7	1991	1997	36	
Gallegos Peak	"491	"	New Mexico	SNOTEL	Taos	9800	36.19446	-105.55795	"130201010502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.9	107	101	110	102	100	79	85	0.2	58	17	23			8.3	8.8	8.08	8.7	2.3	12.9	1981	1984	39	
Garden City Summit	"1114	"	Utah	SNOTEL	Cache	7705	41.9215	-111.4693	"160102010106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.6			101	118	100	75	91	2.2	67	4	7					14.47	12.4	9.6	25.8	2010	2017	10	
Gardner Peak	"1066	"	Utah	SNOTEL	Washington	8322	37.40083	-113.45988	"150100080701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.4	143	140	134	135	100	101	107	3.5	79	4	12			9.4	9.6	10.01	9.9	4.3	19.5	2006	2005	15	
Garfield R.S.	"492	"	Idaho	SNOTEL	Blaine	6560	43.6104	-113.9308	"170402210301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	128	127	131	144	96	104	108	3.2	82	8	32			8.2	8.3	8.01	7.3	1.3	17	1991	2017	39	
Garita Peak	"1173	"	New Mexico	SNOTEL	Rio Arriba	10160	36.005	-106.54838	"130202020201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.6			120	100	100	330	330	0	50	2	2					6.33	7.6	1.6	9.8	2018	2017	3	
Garver Creek	"918	"	Montana	SNOTEL	Lincoln	4250	48.97523	-115.81915	"170101030202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.5	106	109	102	105	99	79	82	0.4	58	22	28			8	7.8	8.34	8.1	4	15.1	1984	1997	51	
Gem Pass	"GEM	"	California	Cooperator Snow Sensors	Mono	10750	37.78	-119.17	"180901010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	24.68	25.3	2	49.6	1991	1986	34	
George Creek	"1151	"	Utah	SNOTEL	Box Elder	8964	41.91562	-113.41154	"170402100401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22			147	175	100	96	105	9.4	100	1	9	Highest				14.96	12.6	9.4	22	2018	2019	9	
Gerber Reservoir	"945	"	Oregon	SNOTEL	Klamath	4890	42.2062	-121.1334	"180102040508	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	1.2	67	109	92	200	92	49	51	0.6	65	8	13			1.8	1.1	1.31	0.6	0	5.2	"2016, 2017, 2018, more"	2008	21	
Gianelli Meadow	"GNL	"	California	Cooperator Snow Sensors	Tuolumne	8400	38.205	-119.892	"180400100501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	31.35	28.7	6.7	68.9	1991	2017	34	
Giant Forest	"GNF	"	California	Cooperator Snow Sensors	Tulare	6650	36.562	-118.765	"180300070402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	9.9	10	0	26	"1977, 2003, 2014"	1973	41	
Gin Flat	"GIN	"	California	Cooperator Snow Sensors	Tuolumne	7050	37.767	-119.773	"180400090701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	19.57	18.9	0	45.2	2015	1983	35	
Giveout	"493	"	Idaho	SNOTEL	Bear Lake	6930	42.4132	-111.1663	"160102010401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.3	100	105	99	104	100	83	89	0.35	59	16	23			8.3	7.9	8.35	7.95	3.8	20.6	2018	1986	38	
Glacial Ridge	"2050	"	Minnesota	SCAN	Polk	1125	47.71667	-96.26667	"090203030503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	3.66	2.8	0	10.9	2017	2004	12	
Glen Cove	"1057	"	Colorado	SNOTEL	Teller	11460	38.87583	-105.07367	"110200030201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0.7	26	21	28	23	33	10	11	-2.4	14	13	2	2nd Lowest		2.7	3.3	2.51	3.1	0.6	5.9	2009	2007	15	
Golconda	"1195	"	Nevada	SNOTEL	Humboldt	6616	40.88358	-117.58812	"160401080102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9			238	363	100	201	341	7.9	100	1	8	Highest				4.59	3	0	10.9	2015	2019	8	
Gold Axe Camp	"1159	"	Washington	SNOTEL	Okanogan	5360	48.9516	-118.9864	"170200021204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.7			84	93	100	57	54	-0.5	38	6	4					8	7.2	3.5	12.9	2015	2016	9	
Gold Center	"494	"	Oregon	SNOTEL	Grant	5410	44.7638	-118.3117	"170702020202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.6	135	145	137	154	100	119	122	4.4	79	9	31			9.3	8.7	9.19	8.2	4	17.1	1991	2006	39	
Gold Lake	"GOL	"	California	Cooperator Snow Sensors	Sierra	6750	39.675	-120.615	"180201250202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	28.35	27	7.7	50.7	2014	2017	47	
Gold Mountain	"1256	"	Washington	SNOTEL	Ferry	4390	48.18934	-118.4559	"170200011703	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8			98	91	99	77	65	-0.8	25	4	2	2nd Lowest				8.2	8.8	1.4	11.8	2015	2017	5	
Gooseberry RS	"495	"	Utah	SNOTEL	Sevier	7944	38.80034	-111.68333	"160300030405	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.3	133	143	131	145	100	92	98	2.9	87	6	35			7	6.5	7.09	6.4	3.7	14.8	1995	1984	40	
Gooseberry RS Up	"1184	"	Utah	SNOTEL	Sevier	8396	38.7882	-111.68892	"160300030405	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.5			120	129	100	100	116	2.15	86	2	7	2nd Highest				7.91	7.35	6.2	11.3	2014	2016	8	
Graham Guard Sta.	"496	"	Idaho	SNOTEL	Elmore	5690	43.9538	-115.27387	"170501110303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.1	115	117	115	116	100	96	98	1.8	71	12	27			11.4	11.2	11.38	11.3	4.3	19.8	2013	"1982, 1983"	39	
Grand Targhee	"1082	"	Wyoming	SNOTEL	Teton	9260	43.77933	-110.92783	"170402040202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	34	110	122	107	110	100	67	67	3	67	5	9			30.9	27.9	31.82	31	25.7	37.6	2012	2008	13	
Grandview	"956	"	Alaska	SNOTEL	Kenai Peninsula	1100	60.60832	-149.06313	"190203021001	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.1	43	41	48	43	100	30	29	-13.4	11	25	4			23.7	24.7	21.09	23.5	1.3	36.2	2015	2000	28	
Granite Creek	"497	"	Wyoming	SNOTEL	Teton	6770	43.34298	-110.43495	"170401030304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.9	105	107	101	103	100	80	87	0.45	61	13	19			13.2	13	13.72	13.45	7.2	26.4	2010	1997	32	
Granite Crk	"963	"	Alaska	SNOTEL	Southeast Fairbanks	1240	63.94382	-145.39993	"190803031306	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	1.4	40	40	42	44	100	34	37	-1.8	0	31	1	Lowest		3.5	3.5	3.34	3.2	1.4	6.4	2019	1991	31	
Granite Peak	"498	"	Nevada	SNOTEL	Humboldt	8503	41.67032	-117.56668	"160401090601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20	114	113	118	120	100	78	89	3.3	63	15	25			17.6	17.7	16.9	16.7	4.8	39.7	1991	1984	39	
Grano Creek	"2E07P	"	British Columbia	Cooperator Snow Sensors	"	"	6148	49.55	-118.66667	"170200020403	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	14.52	14.4	7.3	22.8	2014	1999	21	
Grassy Lake	"499	"	Wyoming	SNOTEL	Teton	7265	44.12612	-110.83435	"170402030202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.2	91	94	91	94	100	67	69	-1.6	32	27	13			25.5	24.8	25.38	24.8	15.2	41.2	1987	1982	39	
Grave Creek	"500	"	Montana	SNOTEL	Flathead	4300	48.91453	-114.76663	"170101010801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.4	91	89	91	90	99	72	74	-1.25	37	28	17			12.5	12.8	12.51	12.65	6.3	19.9	1977	1997	44	
Grave Springs	"501	"	Wyoming	SNOTEL	Natrona	8550	43.46643	-107.23977	"100902010103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.6	88	93	93	100	98	53	55	0	50	14	14			6.4	6	6.02	5.6	3.7	9.5	2003	1997	27	
Grayback	"1058	"	Colorado	SNOTEL	Rio Grande	11620	37.47033	-106.53783	"130100020101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.9			36	39	83	28	30	-6.2	7	14	2	2nd Lowest				10.71	10.1	3.2	23.8	2018	2008	15	
Greek Store	"GKS	"	California	Cooperator Snow Sensors	Placer	5600	39.075	-120.558	"180201280301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	18.77	17.9	0	43.4	2015	1983	39	
Green Lake	"502	"	Washington	SNOTEL	Yakima	5920	46.54741	-121.17093	"170300030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.9	103	111	104	106	100	76	78	1.1	56	17	21			18.4	17	18.2	17.8	5.9	32.4	2005	1997	37	
Green Mountain	"1C12P	"	British Columbia	Cooperator Snow Sensors	"	"	5794	50.78333	-122.91667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	27	27.4	10.3	44.8	2009	1999	24	
Green Mountain	"503	"	Nevada	SNOTEL	Elko	8185	40.3848	-115.52757	"160401030401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.6	133	131	135	132	100	106	111	4.3	89	5	34			13.2	13.4	13.08	13.3	5.6	32.6	2018	1984	39	
Green Mountain	"GRM	"	California	Cooperator Snow Sensors	Madera	7900	37.555	-119.238	"180400060502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	22.12	19.8	1.6	55	2015	2017	42	
Greenpoint	"504	"	Oregon	SNOTEL	Hood River	3310	45.62237	-121.70415	"170701050603	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.5	75	78	83	85	100	64	65	-2.15	33	27	14			16.7	16.1	15.06	14.65	0	31.6	2015	1985	40	
Grizzly Peak	"505	"	Colorado	SNOTEL	Summit	11100	39.64631	-105.86973	"140100020201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.3	116	116	112	114	100	74	76	1.8	76	10	29			12.3	12.3	12.74	12.5	5.7	22.1	1981	1996	39	
Grizzly Ridge	"GRZ	"	California	Cooperator Snow Sensors	Plumas	6900	39.917	-120.645	"180201230401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	19.69	18.6	1.7	38.8	2015	1983	49	
Gros Ventre Summit	"506	"	Wyoming	SNOTEL	Teton	8750	43.38939	-110.12943	"170401020203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7	69	75	70	74	100	48	51	-2.4	13	34	5			10.1	9.3	10.07	9.4	5.6	20.3	2010	1986	39	
Grouse Camp	"507	"	Washington	SNOTEL	Kittitas	5390	47.28107	-120.48771	"170300010401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.9			94	96	99	72	74	-0.6	44	21	14					15.93	15.5	5	26.6	2005	1999	37	
Grouse Creek Divide	"964	"	Alaska	SNOTEL	Kenai Peninsula	700	60.25965	-149.34228	"190203020902	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.6	58	53	59	55	97	43	38	-6.3	20	17	5			13.1	14.3	12.8	13.9	1	24.3	2015	2012	21	
Gulkana River	"2222	"	Alaska	SCAN	Valdez-Cordova	1830	62.40962	-145.37513	"190201020604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.7			100	100	57			0		1	1					3.7	3.7	3.7	3.7	2019	2019	1	
Gunsight Pass	"944	"	Wyoming	SNOTEL	Sublette	9820	43.38332	-109.87815	"170401020102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.7	97	97	95	101	100	62	72	0.1	55	10	12			10	10	10.2	9.6	5.7	16.6	2010	2017	21	
Gutz Peak	"1065	"	Utah	SNOTEL	Washington	6763	37.49617	-113.94235	"150100100101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															8.1	7.3	7.94	6.6	0.5	20.3	2015	2005	14	
Hagans Meadow	"508	"	California	SNOTEL	El Dorado	7742	38.8519	-119.9374	"160501010302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.9	172	174	175	174	100	133	141	10.2	93	4	38			13.9	13.7	13.62	13.7	0.6	33.8	2015	2017	41	
Hams Fork	"509	"	Wyoming	SNOTEL	Lincoln	7840	42.146	-110.67833	"140401070504	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8	86	92	85	95	100	66	72	-0.4	41	20	13			9.3	8.7	9.36	8.4	5.5	15.9	2010	1986	33	
Hand Creek	"510	"	Montana	SNOTEL	Flathead	5035	48.30754	-114.84075	"170102100304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.6	98	98	97	98	98	72	72	-0.2	40	26	18			8.8	8.8	8.84	8.8	2.2	16.7	2005	1997	43	
Hannagan Meadows	"511	"	Arizona	SNOTEL	Greenlee	9020	33.65387	-109.30952	"150601010107	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.7	82	89	91	99	90	73	83	-0.1	47	21	19			10.6	9.8	9.61	8.8	0.2	24.2	2000	1993	39	
Hansen Sawmill	"512	"	Wyoming	SNOTEL	Johnson	8360	44.25602	-106.97983	"100902060101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.9	89	89	85	87	93	51	53	-0.6	27	28	11			4.4	4.4	4.6	4.5	2.4	6.4	2007	2018	38	
Happy Jack	"969	"	Arizona	SNOTEL	Coconino	7630	34.74598	-111.41207	"150602020604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.1	120	134	128	128	100	99	106	1.55	63	8	13			5.9	5.3	5.56	5.55	0	14.1	"2006, 2015"	2010	20	
Hardscrabble	"896	"	Utah	SNOTEL	Morgan	7250	40.86833	-111.71865	"160201020105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	21.8	133	142	146	152	100	114	117	7.45	92	3	23			16.4	15.4	14.96	14.35	7.7	24.7	2018	1997	26	
Harkness Flat	"HRK	"	California	Cooperator Snow Sensors	Plumas	6200	40.418	-121.275	"180201210401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	14.54	12.4	1.8	32	2014	2017	11	
Harris Flat	"514	"	Utah	SNOTEL	Kane	7792	37.48997	-112.57602	"160300010104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.6	235	298	219	275	100	171	195	9.3	95	3	37			6.2	4.9	6.65	5.3	0	22.1	"2007, 2015"	1993	39	
Harts Pass	"515	"	Washington	SNOTEL	Okanogan	6490	48.72047	-120.6586	"171100050501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	31.2	94	98	91	95	100	65	65	-1.7	36	24	13			33.2	32	34.1	32.9	13.6	60.2	2005	1991	37	
Hawkins Lake	"516	"	Montana	SNOTEL	Lincoln	6450	48.9723	-115.95337	"170101050201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.3	85	89	79	80	100	54	55	-4	28	37	14			19.1	18.4	20.7	20.3	9.2	38.6	1977	1974	51	
Hawley Lake	"1271	"	Arizona	SNOTEL	Apache	8300	33.97142	-109.76528	"150601020106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.5			119	105	100	115	102	0.6	100	1	4	Highest				10.48	11.9	5.6	12.5	2018	2019	4	
Hayden Fork	"517	"	Utah	SNOTEL	Summit	9130	40.79669	-110.88472	"160101010101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.3	112	117	110	117	100	77	83	1.9	65	15	27			11.9	11.4	12.07	11.4	5.5	18.8	1992	2017	41	
Hayden Pass	"1102	"	Colorado	SNOTEL	Saguache	10720	38.29326	-105.8505	"130100030301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15			136	133	100	97	92	3.75	91	2	11	2nd Highest				11.03	11.25	2.7	17.7	2018	2008	12	
Heavenly Valley	"518	"	California	SNOTEL	El Dorado	8534	38.92431	-119.91641	"160501010302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	31.1	151	171	150	172	100	109	119	13	83	8	34			20.6	18.2	20.67	18.1	5.6	45.3	1991	2017	41	
Heber	"519	"	Arizona	SNOTEL	Coconino	7640	34.31202	-110.75431	"150200100201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.4	90	88	100	100	100	67	70	0	50	20	20			4.9	5	4.39	4.4	0	14.8	"2006, 2014, 2015, more"	2010	39	
Hedrick Lake	"1A14P	"	British Columbia	Cooperator Snow Sensors	"	"	3668	54.1	-121	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	26.04	26.1	14.4	39.9	2016	2012	17	
Heen Latinee	"1270	"	Alaska	SNOTEL	Juneau	2065	58.69652	-134.86448	"190103010401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.4			77	75	100	55	49	-2.45	33	3	2	2nd Lowest				9.65	9.85	5.9	13	2018	2016	4	
Hemlock Butte	"520	"	Idaho	SNOTEL	Clearwater	5810	46.48111	-115.63361	"170603070601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	38.1	112	114	111	111	100	80	82	3.85	66	13	24			34.1	33.3	34.24	34.25	19.2	59.5	2005	1997	36	
Hewinta	"521	"	Utah	SNOTEL	Summit	9500	40.95009	-110.48419	"140401070203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.5	99	103	99	103	99	60	60	0.2	58	15	20			7.6	7.3	7.6	7.3	4.8	13	2010	1996	34	
Hickerson Park	"522	"	Utah	SNOTEL	Daggett	9122	40.90663	-109.96287	"140401060501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6	118	113	111	109	100	68	70	0.5	73	10	24			5.1	5.3	5.39	5.5	3	8.5	"1996, 2006, 2009"	2016	34	
Hidden Lake	"988	"	Idaho	SNOTEL	Boundary	5040	48.8937	-116.75748	"170101040502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															25.6	27.4	25.01	25.9	11.7	31.7	2001	2006	18	
High Lonesome	"1187	"	Colorado	SNOTEL	Grand	10620	40.03592	-105.75471	"140100010205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.4			103	102	100	70	79	0.3	60	3	4					13.98	14.1	10.3	18.3	2018	2014	6	
High Ridge	"523	"	Oregon	SNOTEL	Umatilla	4920	45.69682	-118.10657	"170701030103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	26.5	133	139	134	139	100	104	105	7.5	85	7	35			20	19	19.73	19	6.9	35.6	2005	1982	41	
Highland Lakes	"HIG	"	California	Cooperator Snow Sensors	Trinity	6030	41.093	-122.483	"180102110302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	22.25	22.2	0	67.4	2015	1998	31	
Highland Meadow	"HHM	"	California	Cooperator Snow Sensors	Alpine	8700	38.49	-119.805	"180400120102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	31.25	28.3	5	84.5	2015	2017	27	
Hilts Creek	"524	"	Idaho	SNOTEL	Custer	8000	44.01897	-113.4723	"170402170401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10	105	104	104	104	99	75	76	0.4	58	17	23			9.5	9.6	9.59	9.6	3.3	15.9	1991	1997	39	
Hobble Creek	"1223	"	Utah	SNOTEL	Utah	7377	40.18538	-111.35971	"160202020304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.6			144	153	100	139	149	5.4	83	2	6	2nd Highest				10.8	10.2	5.5	17.5	2018	2017	7	
Hobbs Park	"525	"	Wyoming	SNOTEL	Fremont	10100	42.86984	-109.09455	"100800030207	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.1	99	112	97	102	98	53	55	0.2	57	18	24			10.2	9	10.36	9.9	5.2	20.3	2001	1986	41	
Hogg Pass	"526	"	Oregon	SNOTEL	Linn	4790	44.42042	-121.85655	"170900040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.3	88	112	72	68	100	53	56	-8.8	38	25	16			20.8	16.3	25.53	27.1	0	57.2	2015	1999	40	
Hole-in-Mountain	"527	"	Nevada	SNOTEL	Elko	8163	40.94168	-115.0954	"160600071602	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	33.8			210	251	100	153	189	20.35	94	3	34					16.13	13.45	3.7	60	1987	2017	36	
Hole-in-Rock	"528	"	Utah	SNOTEL	Summit	9168	40.92167	-110.18623	"140401060205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.4	88	86	86	85	100	52	54	-0.8	18	28	6			5	5.1	5.12	5.2	2.9	6.8	2009	1997	34	
Holland Meadows	"529	"	Oregon	SNOTEL	Lane	4930	43.66917	-122.56877	"170900020201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17	91	99	100	108	100	68	70	1.25	57	17	22			18.7	17.2	16.99	15.75	0	40.6	2015	1989	38	
Hoodoo Basin	"530	"	Montana	SNOTEL	Mineral	6050	46.9751	-115.0349	"170102040607	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	28.7	90	94	84	86	100	61	62	-4.8	29	38	16			32	30.6	34.31	33.5	10.3	59.5	1977	1972	53	
Hoosier Pass	"531	"	Colorado	SNOTEL	Summit	11400	39.36127	-106.05978	"140100020101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.9	119	126	118	121	100	73	75	2.2	76	10	30			10.8	10.2	10.95	10.7	5.5	18.1	1981	1997	39	
Hopewell	"532	"	New Mexico	SNOTEL	Rio Arriba	10000	36.71631	-106.26348	"130201021401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14	97	98	101	103	100	70	70	0.4	56	18	22			14.5	14.3	13.9	13.6	4.5	23.5	2018	1993	40	
Horse Meadow	"1050	"	California	SNOTEL	Alpine	8557	38.83652	-119.88732	"160502010302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	28.8	159	161	172	179	100	131	140	12.7	93	2	15	2nd Highest		18.1	17.9	16.71	16.1	4.7	39.7	2015	2017	16	
Horse Meadow	"HRS	"	California	Cooperator Snow Sensors	Tuolumne	8400	38.158	-119.662	"180400090402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	31.44	29.5	4	82.6	1991	2017	31	
Horse Ridge	"533	"	Utah	SNOTEL	Morgan	8199	41.31372	-111.44624	"160201010601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.2	112	116	112	114	100	83	84	2.3	65	15	27			17.2	16.5	17.21	16.9	7.2	34.7	1981	1997	41	
Hourglass Lake	"1122	"	Colorado	SNOTEL	Larimer	9380	40.57913	-105.63068	"101900070101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.2			93	91	99	55	56	-0.7	30	8	4					7.75	7.9	3.4	11	2013	2014	11	
Howard Prairie	"1158	"	Oregon	SNOTEL	Jackson	4580	42.215	-122.3713	"180102060401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.3			153	100	100	121	109	0	50	4	4					4.11	6.3	0	7.7	2015	2013	7	
Howell Canyon	"534	"	Idaho	SNOTEL	Cassia	7980	42.32029	-113.61587	"170402090602	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.7	105	102	101	100	100	73	73	0	50	20	20			18.8	19.3	19.58	19.7	6.6	38.8	1981	1997	39	
